ID,Rel_News
1,chd_edu_19981215_0002 chd_soc_19980720_0015 cts_soc_19990305_0006 cdn_soc_19981110_0018 chd_soc_19981015_0017 chd_pol_19990502_0013 ctc_dep_19980915_0004 chd_soc_19980820_0012 chd_eco_19990226_0003 chd_for_19990501_0001 cdn_soc_19990108_0018 chd_pol_19980910_0018 chd_soc_19981110_0016 chd_edu_19981113_0001 cts_soc_19981113_0009 chd_edu_19990424_0010 cts_eco_19981215_0001 chd_edu_19990415_0001 cdn_soc_19980530_0027 chd_soc_19990427_0003 cdn_soc_19981111_0018 chd_edu_19990501_0003 chd_pol_19981119_0019 chd_edu_19990109_0002 cte_foc_19990116_0001 chd_edu_19981127_0006 cts_soc_19981122_0009 cdn_soc_19981122_0007 chd_eco_19990226_0001 chd_pol_19990509_0006 cdn_eco_19990227_0004 cte_foc_19990319_0003 cts_for_19981026_0003 cts_soc_19980426_0002 ctc_dep_19981215_0007 cts_soc_19990302_0008 ctc_dep_19981010_0004 cts_soc_19981113_0008 ctc_foc_19980624_0011 cdn_foc_19980909_0003 cdn_eco_19990323_0006 chd_pol_19990502_0010 cdn_eco_19990117_0008 cdn_soc_19981215_0015 chd_soc_19980629_0015 cdn_ent_19980515_0003 cts_soc_19981113_0020 cts_soc_19981010_0002 cdn_foc_19990113_0026 chd_soc_19980901_0017 cts_soc_19990104_0009 cdn_eco_19981101_0012 chd_eco_19990105_0004 cts_soc_19980702_0005 cdn_eco_19990226_0009 chd_pol_19990502_0014 cts_for_19980611_0003 cts_soc_19990501_0009 chd_soc_19990119_0017 cdn_soc_19981021_0007 cdn_eco_19990414_0014 cdn_eco_19990401_0001 cdn_eco_19990421_0006 cts_foc_19990129_0020 cdn_soc_19990129_0002 cts_esy_19981227_0002 ctc_dep_19980819_0002 chd_edu_19980530_0003 cdn_eco_19990413_0007 chd_edu_19990410_0005 cdn_soc_19981119_0005 chd_int_19980904_0003 cdn_soc_19990430_0016 chd_edu_19990414_0001 cdn_foc_19990105_0025 chd_pol_19990429_0019 chd_edu_19990416_0007 cts_eco_19981225_0016 chd_for_19990315_0001 cts_soc_19981010_0004 chd_pol_19990502_0015 chd_edu_19981114_0009 cdn_eco_19990102_0015 cdn_soc_19990114_0014 cts_soc_19990104_0008 ctc_foc_19990205_0013 cts_foc_19981129_0001 chd_soc_19980928_0008 ctc_foc_19981227_0001 cts_soc_19981010_0008 cts_for_19990418_0006 chd_edu_19981113_0002 chd_soc_19980911_0015 cts_soc_19990304_0006 cdn_soc_19981003_0005 ctc_dep_19981225_0005 cdn_soc_19990210_0008 chd_eco_19990501_0007 ctc_foc_19990129_0003 chd_edu_19981114_0004 
2,cte_foc_19980922_0009 chd_spo_19980923_0013 chd_spo_19980804_0009 chd_spo_19980923_0014 cts_spo_19980810_0007 chd_eco_19980928_0016 cts_spo_19981127_0006 cts_spo_19980913_0005 chd_spo_19980923_0010 cts_spo_19980821_0011 cts_spo_19980729_0015 cts_spo_19980731_0010 chd_spo_19980731_0006 cte_foc_19980922_0006 cts_spo_19980923_0014 cts_spo_19980803_0014 cts_spo_19980729_0014 cts_spo_19990119_0013 cts_spo_19980923_0015 cts_spo_19980731_0009 cts_art_19990104_0006 chd_soc_19990301_0009 ctc_dep_19980713_0005 cts_soc_19980922_0020 cdn_eco_19990223_0010 chd_spo_19980804_0008 chd_spo_19980731_0005 cts_spo_19980808_0013 chd_spo_19980923_0017 ctc_fin_19980926_0007 chd_pol_19981202_0008 chd_spo_19980923_0015 cts_ent_19990322_0007 cdn_soc_19980922_0008 cts_ent_19981229_0006 cdn_spo_19980924_0012 cdn_spo_19981204_0007 chd_spo_19980620_0005 chd_spo_19980923_0018 chd_spo_19980923_0011 cdn_spo_19981211_0013 cts_spo_19980923_0012 cdn_spo_19980923_0005 chd_med_19990215_0008 cdn_spo_19981203_0003 cdn_spo_19980923_0009 chd_spo_19980923_0012 cdn_soc_19981202_0011 cdn_spo_19990204_0004 chd_spo_19980923_0016 chd_spo_19980923_0009 cdn_spo_19990205_0002 cdn_spo_19980923_0001 cts_for_19980810_0003 chd_spo_19980731_0007 ctc_fin_19981012_0008 cdn_spo_19980928_0008 cdn_spo_19980923_0007 cdn_spo_19981008_0008 cdn_spo_19980923_0008 cdn_spo_19990413_0006 ctc_mnf_19981004_0003 cts_spo_19980923_0013 cdn_spo_19981215_0015 cts_spo_19981212_0002 chd_spo_19981207_0012 cdn_chi_19980611_0015 cts_eco_19980706_0008 chd_soc_19981024_0018 ctc_dep_19980713_0006 cdn_for_19990127_0002 cts_spo_19990401_0001 chd_ent_19980713_0008 cdn_eco_19981208_0003 cdn_spo_19990319_0003 chd_spo_19990203_0004 cts_foc_19990126_0006 chd_spo_19981128_0009 ctc_fin_19981023_0013 cdn_spo_19981207_0006 cts_spo_19981202_0011 chd_spo_19980627_0007 chd_spo_19990508_0009 cdn_foc_19990408_0020 chd_spo_19981121_0007 cts_ent_19980911_0002 cts_spo_19980708_0011 cts_soc_19980816_0012 cts_spo_19981205_0011 chd_spo_19980519_0006 cts_spo_19980919_0013 cts_foc_19990126_0008 chd_edu_19981005_0009 cts_spo_19981222_0003 cts_foc_19990126_0009 cdn_spo_19981213_0004 chd_ent_19980530_0009 chd_spo_19990125_0010 cts_spo_19981221_0001 cts_foc_19990126_0007 
3,chd_med_19990101_0003 cdn_soc_19980617_0015 cts_soc_19980807_0001 cts_soc_19981023_0017 cdn_soc_19990308_0002 cdn_soc_19990124_0011 cdn_soc_19981015_0017 cts_soc_19980527_0009 cts_soc_19980916_0004 cdn_foc_19990101_0027 cdn_foc_19980926_0018 cts_soc_19980527_0029 ctc_eco_19980617_0002 cdn_soc_19980920_0009 cts_soc_19980508_0011 cts_soc_19990322_0004 cdn_soc_19981203_0009 cdn_soc_19990308_0001 cts_int_19980916_0004 chd_med_19990325_0001 cdn_soc_19990325_0005 chd_for_19990101_0003 cts_soc_19980617_0003 cdn_foc_19990323_0023 chd_soc_19990127_0007 chd_med_19990320_0005 cte_foc_19980708_0008 cts_soc_19990323_0026 cte_foc_19990319_0008 cts_soc_19980528_0021 cte_foc_19990325_0005 cts_soc_19980521_0001 chd_med_19990101_0004 cdn_foc_19990323_0026 cts_soc_19990308_0023 cts_soc_19980807_0008 chd_med_19981127_0001 chd_med_19990109_0005 cte_foc_19980806_0006 chd_for_19990320_0002 cte_foc_19981231_0015 cdn_soc_19990324_0006 cdn_soc_19980920_0010 cts_soc_19980624_0001 cts_soc_19980920_0019 cdn_foc_19990101_0026 chd_med_19990327_0002 chd_med_19990320_0001 cdn_soc_19990324_0001 cdn_soc_19990324_0003 cts_soc_19980624_0012 cte_foc_19990321_0015 chd_med_19980807_0004 cts_soc_19981015_0012 chd_med_19990324_0014 chd_med_19980904_0017 cte_foc_19990307_0007 ctc_eco_19980617_0006 cdn_soc_19980524_0004 chd_med_19990109_0006 chd_med_19990320_0002 cdn_soc_19990308_0003 cdn_soc_19980530_0025 cts_soc_19980719_0006 cdn_foc_19990101_0028 chd_med_19980922_0038 chd_med_19990321_0004 chd_med_19981015_0001 chd_eco_19980902_0026 chd_med_19990320_0004 cte_foc_19990307_0013 cte_foc_19981231_0010 cte_foc_19990322_0015 cts_soc_19990329_0013 chd_med_19990321_0003 ctc_dep_19980709_0002 cts_for_19990321_0006 chd_med_19990101_0006 cdn_soc_19980807_0011 chd_med_19980620_0007 cts_soc_19980617_0015 cts_soc_19980629_0007 cdn_soc_19980701_0015 cdn_soc_19990325_0001 cts_soc_19980530_0010 cts_int_19980701_0001 cdn_soc_19980710_0022 chd_med_19990309_0002 chd_med_19990309_0003 chd_med_19990101_0001 cts_soc_19980719_0001 cdn_soc_19990321_0006 cdn_soc_19990321_0004 cts_soc_19980629_0001 chd_med_19990105_0004 cdn_soc_19990322_0015 cdn_soc_19980523_0029 chd_med_19980902_0015 chd_med_19990321_0001 cdn_foc_19990101_0003 
4,chd_pol_19990407_0026 cts_chi_19990327_0003 cdn_foc_19990329_0018 chd_pol_19990407_0024 chd_ent_19990403_0001 ctc_foc_19990328_0002 cts_chi_19980613_0006 cdn_ent_19980611_0003 chd_pol_19990329_0011 chd_chi_19980601_0003 chd_pol_19990330_0009 chd_pol_19990328_0005 chd_pol_19990330_0011 chd_pol_19990329_0012 cts_chi_19990304_0009 chd_pol_19990412_0005 cts_chi_19990331_0007 cts_chi_19990330_0009 chd_pol_19990330_0010 ctc_chi_19981111_0010 cdn_foc_19990330_0015 chd_pol_19990328_0006 cts_chi_19990117_0003 cts_chi_19990330_0001 cts_chi_19990121_0009 cts_chi_19990405_0002 cts_chi_19990329_0010 cdn_foc_19980605_0029 chd_int_19990411_0004 cts_chi_19990401_0009 cts_chi_19980606_0008 cts_chi_19990329_0009 cts_chi_19980625_0005 cts_pol_19990411_0008 cdn_foc_19990329_0019 cts_chi_19980526_0003 cts_chi_19990329_0005 cts_chi_19980509_0002 ctc_chi_19990329_0005 cts_chi_19990330_0003 chd_chi_19980622_0002 ctc_chi_19980605_0004 cts_chi_19980425_0002 cts_chi_19990325_0007 cts_chi_19990327_0002 chd_chi_19990309_0003 cdn_chi_19990423_0007 cdn_chi_19981109_0003 cdn_chi_19990401_0001 cdn_chi_19980605_0001 cdn_chi_19980613_0003 chd_chi_19990403_0004 cdn_chi_19980811_0002 cdn_chi_19980602_0004 cts_chi_19990328_0007 cdn_chi_19980525_0005 cdn_chi_19990416_0005 cdn_chi_19990327_0006 cdn_chi_19990308_0006 cdn_chi_19990402_0004 cdn_chi_19990331_0003 cdn_foc_19980605_0028 cdn_chi_19980603_0001 cdn_chi_19980605_0003 cdn_chi_19980601_0001 cdn_chi_19990117_0004 cdn_chi_19980508_0011 cdn_chi_19980608_0004 cdn_chi_19990422_0005 cdn_foc_19980605_0024 cts_art_19990329_0006 cdn_foc_19990405_0017 cdn_chi_19980606_0003 cdn_chi_19990116_0002 cdn_chi_19990318_0004 cte_foc_19990329_0004 cdn_chi_19980826_0005 cdn_chi_19990402_0003 cdn_foc_19990329_0020 cdn_chi_19980622_0008 cts_chi_19980603_0009 cdn_chi_19981117_0010 cdn_chi_19990405_0001 cdn_chi_19980604_0001 cdn_for_19980613_0002 cdn_foc_19990330_0016 chd_ent_19990403_0013 cts_art_19990330_0006 cte_foc_19990404_0013 cts_pol_19990411_0006 chd_chi_19980601_0002 cts_for_19990330_0005 cdn_foc_19980628_0001 cts_chi_19980605_0003 chd_chi_19990222_0002 cdn_chi_19980601_0002 cdn_chi_19990304_0008 cdn_ent_19990330_0005 cts_chi_19990503_0002 cdn_for_19980629_0003 
5,cts_int_19981119_0006 cdn_foc_19980817_0011 cdn_foc_19990427_0011 ctc_dep_19980703_0002 cts_eco_19981004_0009 ctc_foc_19980613_0013 chd_eco_19981109_0003 cdn_for_19980610_0002 cte_foc_19981222_0007 ctc_dep_19981012_0001 ctc_foc_19980701_0002 ctc_fin_19981028_0009 chd_eco_19980622_0008 cdn_ent_19980611_0002 ctc_foc_19990322_0007 chd_eco_19981101_0019 cts_eco_19980713_0010 ctc_foc_19990404_0011 ctc_foc_19981013_0003 cdn_eco_19981125_0001 ctc_fin_19990330_0001 cts_int_19980418_0001 ctc_eco_19981228_0005 cte_esy_19980619_0001 cts_eco_19981117_0016 cte_foc_19981222_0013 ctc_foc_19980524_0011 cts_for_19980825_0001 cte_foc_19980829_0015 cts_for_19981020_0006 cte_foc_19980827_0008 cdn_soc_19990225_0006 ctc_eco_19990205_0007 ctc_eco_19980910_0006 ctc_eco_19980709_0003 ctc_fin_19990426_0003 cdn_eco_19981123_0004 cte_foc_19981004_0009 ctc_eco_19980918_0002 chd_chi_19990403_0005 cts_int_19981006_0004 cte_foc_19980904_0005 cts_int_19980802_0007 cdn_soc_19990105_0004 ctc_eco_19980609_0006 ctc_foc_19981010_0010 ctc_eco_19980630_0002 ctc_eco_19981111_0005 cts_for_19981006_0008 chd_int_19980708_0005 cts_foc_19980327_0005 chd_pol_19981119_0007 cts_eco_19981223_0009 cdn_eco_19981017_0009 cts_for_19980727_0004 chd_chi_19980928_0005 cts_eco_19980709_0009 chd_int_19980910_0001 ctc_fin_19981015_0005 ctc_eco_19981117_0004 cdn_eco_19990429_0006 ctc_foc_19980618_0015 chd_for_19981030_0002 ctc_eco_19980718_0004 ctc_dep_19981127_0001 chd_for_19980814_0001 ctc_eco_19981008_0001 cts_eco_19980816_0005 cts_foc_19980824_0001 cts_eco_19981025_0002 ctc_foc_19980617_0013 ctc_eco_19981023_0004 ctc_foc_19981211_0006 cts_foc_19980610_0001 cts_eco_19980726_0007 chd_pol_19981119_0005 ctc_eco_19981224_0007 cts_int_19990118_0007 cts_eco_19990118_0015 ctc_dep_19980608_0002 ctc_eco_19990114_0005 cts_int_19980616_0005 chd_eco_19980607_0013 cts_int_19990118_0001 cts_eco_19981017_0009 ctc_foc_19981129_0006 ctc_foc_19981013_0001 ctc_eco_19980818_0005 ctc_foc_19990328_0012 ctc_eco_19990302_0005 cts_eco_19981125_0002 cts_foc_19980610_0003 cts_chi_19980826_0009 ctc_eco_19980723_0002 cts_eco_19981026_0004 ctc_fin_19981116_0004 ctc_eco_19980827_0004 cdn_foc_19990426_0012 cdn_foc_19980909_0010 cte_foc_19990114_0010 
6,cts_foc_19980905_0013 cts_int_19981202_0004 cts_int_19980902_0003 cts_int_19980901_0001 chd_int_19990327_0001 chd_int_19990313_0001 cts_foc_19980904_0002 cts_foc_19990308_0011 cts_int_19990116_0005 chd_int_19980902_0001 cts_int_19980904_0009 cts_int_19990116_0001 cts_int_19980901_0007 cts_for_19980907_0008 cts_int_19990321_0007 cts_int_19980901_0010 cts_int_19990109_0002 cts_int_19980617_0004 cts_int_19990321_0002 cts_int_19990401_0010 chd_int_19990109_0001 cts_int_19980911_0003 cte_foc_19980905_0002 chd_int_19990326_0003 chd_int_19980904_0005 cts_int_19980902_0008 chd_int_19980617_0001 cts_int_19980903_0002 cts_int_19980902_0013 cts_int_19990109_0001 cdn_foc_19980902_0003 cts_int_19990205_0010 cdn_foc_19981122_0009 cts_int_19980905_0009 chd_int_19980904_0004 cts_int_19990204_0002 cts_pol_19990207_0002 cdn_foc_19980906_0014 cts_int_19980908_0010 cts_int_19981212_0008 chd_int_19980917_0025 cts_int_19980604_0007 cts_int_19990408_0005 chd_int_19981122_0004 cdn_foc_19990112_0029 ctc_chi_19990112_0006 cts_foc_19980905_0012 cts_int_19981018_0007 cdn_for_19980907_0001 ctc_eco_19980901_0005 cts_int_19980905_0008 chd_int_19980907_0017 cts_int_19981123_0001 cts_int_19970920_0001 chd_int_19980903_0002 cts_foc_19980905_0004 cts_int_19981212_0001 cts_int_19990117_0001 cts_chi_19980909_0005 cts_int_19980902_0005 cts_int_19980604_0006 chd_int_19990311_0006 cts_int_19990311_0010 cts_int_19990309_0008 cts_int_19990205_0008 cts_int_19980820_0008 cts_int_19990314_0003 cts_int_19981223_0003 chd_for_19980907_0001 cts_int_19980902_0004 cts_int_19981120_0010 chd_int_19980917_0005 cts_int_19990117_0007 cts_int_19990102_0005 cts_int_19980902_0014 cts_int_19980908_0009 cts_int_19970412_0001 chd_int_19990318_0004 chd_int_19981204_0001 cts_int_19990318_0003 cts_int_19990322_0006 chd_int_19980701_0003 cts_int_19980905_0001 chd_int_19990310_0002 cts_int_19981223_0005 chd_int_19980907_0014 ctc_foc_19980803_0001 chd_int_19980904_0002 cdn_foc_19990113_0027 cts_int_19980906_0013 cdn_foc_19990314_0009 chd_int_19990108_0004 cts_pol_19990102_0009 cts_foc_19980905_0005 cts_int_19981022_0006 cts_int_19980906_0001 chd_int_19990310_0004 cts_int_19990318_0012 cts_int_19981022_0007 cts_int_19980818_0008 
7,chd_med_19990331_0001 cdn_soc_19990221_0005 cdn_soc_19990318_0002 chd_med_19980622_0007 cdn_soc_19980608_0008 cts_soc_19970524_0001 cdn_soc_19980623_0009 chd_for_19981217_0002 chd_med_19980814_0002 chd_for_19980813_0002 cts_soc_19980518_0013 cts_for_19980811_0002 chd_chi_19981030_0004 cts_soc_19981122_0006 cts_soc_19981119_0008 cdn_soc_19990113_0014 cdn_soc_19980804_0012 cdn_ent_19980518_0004 cdn_soc_19980818_0014 cdn_soc_19981215_0008 chd_int_19980706_0004 chd_int_19981126_0006 chd_med_19980518_0002 chd_med_19990227_0004 chd_med_19990213_0003 chd_med_19990407_0001 cts_soc_19981201_0005 chd_med_19980922_0015 cts_soc_19980802_0009 cdn_soc_19990318_0001 chd_med_19981215_0001 chd_med_19980827_0010 cts_int_19990203_0004 cts_soc_19980812_0008 cdn_soc_19980909_0015 chd_med_19980622_0016 chd_med_19980815_0009 cdn_soc_19981009_0011 chd_med_19990407_0002 chd_med_19990301_0005 cdn_soc_19980802_0012 chd_med_19990301_0004 chd_med_19981111_0014 chd_med_19980623_0011 chd_med_19980812_0004 cdn_soc_19990226_0009 chd_med_19981120_0003 chd_med_19980829_0001 cdn_soc_19990428_0018 chd_med_19980819_0002 chd_med_19990113_0009 cdn_soc_19980812_0015 chd_med_19990423_0001 cdn_soc_19980802_0013 cdn_chi_19980521_0006 chd_med_19980925_0001 chd_med_19981121_0002 chd_med_19980720_0008 chd_med_19981009_0005 chd_med_19981121_0003 cts_soc_19990228_0015 chd_med_19980826_0001 cts_soc_19981009_0011 cts_soc_19980810_0003 cdn_soc_19980815_0015 cts_soc_19980810_0016 chd_med_19980812_0003 chd_med_19980605_0005 cdn_soc_19981215_0009 chd_med_19981024_0020 chd_chi_19990417_0003 cts_soc_19980808_0002 chd_med_19990318_0011 cts_for_19981011_0005 chd_med_19980910_0026 cts_soc_19990228_0016 chd_med_19981121_0004 chd_med_19981113_0003 chd_med_19980819_0004 cte_foc_19980814_0015 chd_med_19990114_0001 cts_soc_19990301_0026 chd_med_19981114_0013 cts_int_19990201_0009 cts_soc_19990331_0007 cdn_soc_19990226_0011 chd_med_19980618_0002 cdn_soc_19980710_0014 chd_med_19980808_0001 cts_soc_19981119_0002 chd_med_19981128_0002 chd_med_19980706_0004 chd_med_19980627_0012 chd_med_19981112_0011 cts_soc_19980815_0015 chd_med_19980818_0002 chd_med_19980815_0001 cdn_soc_19980618_0005 cdn_soc_19980703_0019 cdn_soc_19990331_0006 
8,chd_soc_19990201_0007 chd_soc_19990201_0009 cts_esy_19980926_0002 cdn_soc_19990330_0010 chd_soc_19990426_0013 cdn_soc_19981222_0008 chd_soc_19980730_0010 chd_soc_19980609_0016 chd_pol_19981028_0024 cts_spo_19990227_0001 cte_foc_19981013_0007 cdn_soc_19981224_0003 cdn_spo_19981230_0008 chd_soc_19980629_0013 cdn_soc_19980613_0021 chd_pol_19981110_0006 chd_soc_19990209_0002 cts_art_19981130_0001 chd_soc_19981114_0019 chd_soc_19980917_0035 cts_soc_19981112_0011 chd_pol_19980515_0008 cts_soc_19980527_0015 cts_soc_19980711_0011 cts_soc_19990102_0011 chd_chi_19981230_0006 cts_soc_19990507_0023 cdn_soc_19980902_0013 chd_pol_19981110_0005 cdn_chi_19981005_0009 chd_pol_19990102_0010 cts_soc_19981218_0006 cts_soc_19981224_0009 chd_med_19981128_0002 chd_soc_19980821_0004 cdn_soc_19981201_0019 chd_med_19990508_0008 chd_med_19981215_0002 chd_med_19981216_0007 chd_med_19990417_0009 chd_med_19981112_0008 cts_foc_19970512_0001 chd_med_19981208_0010 cdn_edu_19990425_0002 chd_soc_19981028_0005 chd_med_19990227_0006 cdn_edu_19981103_0008 cdn_loc_19990319_0007 chd_spo_19980603_0006 cdn_edu_19981123_0013 chd_med_19990209_0017 chd_med_19981009_0008 cdn_edu_19990112_0007 cdn_for_19981110_0001 cdn_edu_19981103_0005 cts_pol_19981229_0017 chd_soc_19990427_0001 cdn_for_19990427_0001 cdn_for_19990116_0003 cdn_foc_19990422_0025 chd_for_19990426_0003 chd_soc_19981113_0009 chd_for_19981217_0002 chd_for_19990109_0002 chd_for_19981218_0002 chd_for_19990103_0003 chd_for_19981015_0002 chd_for_19980714_0003 cte_foc_19981104_0001 chd_ent_19980705_0014 cdn_foc_19990423_0025 chd_ent_19980922_0010 chd_edu_19990112_0004 chd_spo_19980602_0006 cdn_foc_19981110_0011 chd_edu_19980516_0004 cts_for_19990423_0004 cts_for_19990420_0004 cts_for_19990428_0007 chd_edu_19980727_0005 cts_for_19990421_0006 cts_for_19990424_0005 cts_for_19981204_0006 cts_for_19990329_0007 chd_edu_19990424_0012 cts_for_19980917_0005 chd_edu_19980911_0005 cts_for_19980917_0009 cts_for_19990422_0006 cdn_foc_19990422_0028 chd_soc_19981128_0015 chd_edu_19990109_0003 cts_spo_19980912_0012 chd_soc_19980823_0001 cdn_soc_19980609_0013 cts_art_19981130_0003 chd_pol_19980613_0006 chd_med_19980923_0001 cdn_edu_19990416_0004 cdn_loc_19980718_0003 
9,cts_int_19990329_0001 ctc_cgo_19980810_0006 cdn_chi_19980716_0009 cts_int_19990325_0005 cts_int_19990321_0001 cts_foc_19980716_0002 chd_pol_19980609_0007 cdn_soc_19980710_0005 chd_eco_19981212_0020 cdn_loc_19990325_0004 cdn_foc_19980713_0015 chd_pol_19990304_0016 cts_chi_19981227_0004 ctc_cgo_19980612_0001 cdn_soc_19980711_0008 cts_chi_19980609_0008 chd_med_19990127_0010 cts_chi_19980124_0001 cts_soc_19990311_0010 cts_soc_19980609_0005 chd_pol_19980628_0005 ctc_cgo_19981123_0004 chd_soc_19990426_0006 cdn_foc_19980718_0012 chd_spo_19980630_0009 cts_art_19960628_0001 chd_pol_19980524_0019 cts_soc_19980628_0007 cdn_foc_19980525_0027 cdn_loc_19980707_0001 chd_soc_19981216_0002 cdn_loc_19980804_0001 ctc_cgo_19981214_0004 cts_art_19950914_0001 cdn_loc_19990301_0001 cdn_loc_19980926_0005 cts_foc_19981017_0027 cts_art_19990111_0005 chd_eco_19980713_0007 chd_soc_19990315_0002 cdn_for_19980603_0002 chd_int_19990325_0005 cdn_loc_19980930_0004 chd_eco_19980608_0005 cts_soc_19980821_0001 cts_int_19970803_0001 cdn_soc_19990108_0011 cdn_foc_19980508_0003 chd_edu_19990131_0005 chd_edu_19981210_0004 chd_pol_19980526_0041 ctc_mnf_19981011_0006 ctc_eco_19980822_0002 cts_foc_19981018_0011 cte_foc_19980709_0006 cte_foc_19981016_0004 cts_soc_19981020_0014 chd_edu_19990125_0022 chd_edu_19990125_0024 ctc_chi_19990227_0002 cdn_loc_19981106_0004 cts_int_19990421_0002 cdn_loc_19990417_0005 cdn_loc_19980712_0004 chd_edu_19990314_0002 cdn_loc_19980519_0006 cte_foc_19990226_0016 chd_edu_19980705_0019 chd_for_19980717_0002 cts_soc_19980713_0011 cts_chi_19980815_0003 cdn_soc_19980610_0016 cts_soc_19980713_0010 chd_edu_19981102_0008 chd_eco_19980805_0016 cts_chi_19980602_0007 chd_for_19990224_0001 cte_foc_19981013_0015 cts_foc_19980721_0016 cts_soc_19980920_0014 chd_soc_19990311_0009 chd_pol_19990114_0018 cts_chi_19981205_0007 cts_chi_19990406_0008 cts_soc_19981015_0021 cts_foc_19981017_0028 cts_foc_19970806_0001 cdn_loc_19990420_0001 cdn_eco_19990308_0003 cdn_soc_19980628_0016 cdn_foc_19980609_0004 cts_soc_19980822_0001 ctc_chi_19980921_0003 chd_int_19990301_0001 cts_soc_19980616_0014 chd_pol_19981003_0002 cts_foc_19970731_0002 chd_edu_19980713_0002 cdn_soc_19980905_0011 chd_int_19980623_0001 
